,Body Name,IMAGE,Product Tags: Body,Core Body Number,TAG: Body,id
46,Trumpet Pant - Org,vWODBCXmQdadnik1WijV_Screen%20Shot%202018-05-18%20at%201.26.50%20PM.png (https://dl.airtable.com/KmahlG84RK68Ruy2Kern_vWODBCXmQdadnik1WijV_Screen%2520Shot%25202018-05-18%2520at%25201.26.50%2520PM.png),,TS-2017,"Use Day, Use Work, Detail Soft, Body Top 3, Fit Relaxed, Length Medium, Use Weekend, Neck V, ",recK9ryL4WVmt0p52
47,Trench Jumpsuit,p5hOPEyR1CZMcP6Drmg4_Screen%20Shot%202018-06-04%20at%2011.29.51%20AM.png (https://dl.airtable.com/IOPMcjlQQuS8FwU4T3BM_p5hOPEyR1CZMcP6Drmg4_Screen%2520Shot%25202018-06-04%2520at%252011.29.51%2520AM.png),,TK-2029,"Body Other 7, Fit Tailored, Use Day, Use Work, Use Weekend, Use Evening, Neck V, Length Long, Sleeve Medium, Detail Collar, Detail Cuff Band, Detail Gathering, Detail Pocket, Detail Soft, Detail Waist Band",recxNocLdKqoqDLuP
48,Trench Coat ,Sdqk9NgyR2tnJYzOsZhW_Screen%20Shot%202018-06-04%20at%2011.54.38%20AM.png (https://dl.airtable.com/4sA4HmSaTLeZ8LB05keG_Sdqk9NgyR2tnJYzOsZhW_Screen%2520Shot%25202018-06-04%2520at%252011.54.38%2520AM.png),,TK-5000,"Body Coat 5, Fit Relaxed, Use Day, Use Work, Use Evening, Use Weekend, Neck V, Length 3/4, Sleeve Long, Detail Collar, Detail Soft, Detail Topstitching, Detail Waist Tie/Belt",recQxRTXHwgjD4JIa
49,Trapeze Dress,mgjYqtHnSPWyiFo5b9TS_Screen%20Shot%202018-03-02%20at%204.18.21%20PM.png (https://dl.airtable.com/EB4N8GSNRhKEBhDYXTn3_mgjYqtHnSPWyiFo5b9TS_Screen%2520Shot%25202018-03-02%2520at%25204.18.21%2520PM.png),,KT-6020,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recb9L2iD4fHM2aOV
50,Traditional Vest,GFJzN3ZQ72v6g2O9pub4_vest%204s.jpg (https://dl.airtable.com/VoUw2IK4SPyuSv826Hw3_GFJzN3ZQ72v6g2O9pub4_vest%25204s.jpg),,JR-4012,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recLXcIMsc6x16l9G
51,Tracee Pant,dp7HzsCdTxga7vIEvV9J_Screen%20Shot%202018-09-26%20at%2010.24.30%20AM.png (https://dl.airtable.com/TH6C2VZFTZo7LLlv6w39_dp7HzsCdTxga7vIEvV9J_Screen%2520Shot%25202018-09-26%2520at%252010.24.30%2520AM.png),,KT-2020,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",rec31YP8nwY4tilqX
52,TOWN SHIRT,A7F3hnUkRL6Gm3eBOBSD_TOWN%20SHIRT%20JACKET.pdf (https://dl.airtable.com/ydXb8OQcTZOHjfZShnWe_A7F3hnUkRL6Gm3eBOBSD_TOWN%2520SHIRT%2520JACKET.pdf),,JR-3022,,rec1Do043oTfpX6En
53,Tory Dress,YdQE1WYcTOiVS0YJq9AB_Screen%20Shot%202018-12-06%20at%203.54.32%20PM.png (https://dl.airtable.com/G7ZhVHEMSwypK82I4KMp_YdQE1WYcTOiVS0YJq9AB_Screen%2520Shot%25202018-12-06%2520at%25203.54.32%2520PM.png),,KT-6034,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recHpY9uZQl4yluaS
54,Tiered Skirt ,F3rBqXSS7CL7KZyvvOSJ_IMG_2641%202.jpg (https://dl.airtable.com/KSpa1FVQGSE6nUBsRMFg_F3rBqXSS7CL7KZyvvOSJ_IMG_2641%25202.jpg),,TK-1003,"Body Skirt 1, Fit Relaxed, Use Day, Use Work, Use Weekend, Neck None/Open, Length 3/4, Sleeve None, Detail Gathering, Detail Ruffle, Detail Soft, Detail Waist Elastic",recQYIPFj4uXK9wAX
55,Tiered Dress,XpZFybQbSe3JQebb0HN4_Image%20from%20iOS%20(1).jpg (https://dl.airtable.com/uo7ih0WnT0mZyAs7I8P8_XpZFybQbSe3JQebb0HN4_Image%2520from%2520iOS%2520(1).jpg),,RM-6000,"Use Day, Use Weekend, Fit Relaxed, Detail Soft, Use Work, ",rec7bx4RDuZa7L5Fb
56,Tie-Front Tank,nEjCRlYlTmyqr7AKjHRH_Screen%20Shot%202018-05-17%20at%201.17.51%20PM.png (https://dl.airtable.com/gxYqD2iTce1zkjZ3Tb6h_nEjCRlYlTmyqr7AKjHRH_Screen%2520Shot%25202018-05-17%2520at%25201.17.51%2520PM.png),,KT-3036,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recACbjjq44pgZ2iV
57,Tie-front Shirt,voJo4ss7TNuWKnNN3dNB_Screen%20Shot%202018-06-14%20at%205.46.20%20PM.png (https://dl.airtable.com/OpUDso8DRvjXfSw5Efbo_voJo4ss7TNuWKnNN3dNB_Screen%2520Shot%25202018-06-14%2520at%25205.46.20%2520PM.png),,KT-3001,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recsJjeep6I9uyHko
58,Tie Camisole Dress,ETp0vp4QsKg7xccmr7FD_Screen%20Shot%202018-04-27%20at%2012.16.27%20PM.png (https://dl.airtable.com/l2hSZnu7SwWK3uMnv8t8_ETp0vp4QsKg7xccmr7FD_Screen%2520Shot%25202018-04-27%2520at%252012.16.27%2520PM.png),,TK-6066,"Body Dress 6, Fit Tailored, Use Day, Use Weekend, Use Occasion, Use Holiday, Neck Low Cut, Length Long, Sleeve None, Detail Soft, Detail Waist Band",recVd6YxuTT81oxQ7
59,The Wrap Button Up Dress ,7LnsEAM3SxGFbUDdpEoQ_IMG_8787.jpg (https://dl.airtable.com/LtEJUINDQV6b2bAjlpbx_7LnsEAM3SxGFbUDdpEoQ_IMG_8787.jpg),,TK-6068,"Body Dress 6, Fit Tailored, Use Day, Use Work, Use Evening, Use Weekend, Neck V, Length 3/4, Sleeve None, Detail Gathering, Detail Placket, Detail Ruffle, Detail Soft",recIMEfbah36qw42r
60,The Wide Sleeve Blouse,XHZt5u9SeiSNw14hBabP_tk%203023%20WIDE%20SLEEVE%20BLOUSE.jpg (https://dl.airtable.com/3e5HgR5KQciZbXV5WBtz_XHZt5u9SeiSNw14hBabP_tk%25203023%2520WIDE%2520SLEEVE%2520BLOUSE.jpg),,TK-3023,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recjBdwfC09oXJkQA
