,Color_Name_,Color_Code,IMAGE,TAG: Color,id
33,RAINBOW STRIPES,RAINGZ,5xJXoYMqTvKWR33Ld8WC_Screen%20Shot%202018-08-21%20at%204.45.31%20PM.png (https://dl.airtable.com/6yiauyfcSpqqWbj5Y7zA_5xJXoYMqTvKWR33Ld8WC_Screen%2520Shot%25202018-08-21%2520at%25204.45.31%2520PM.png),"Primary coral, Secondary steelblue,  Bright Medium,  Contrast Low, Field Large, Genre Stripe",rec16EDervpDhUZV3
34,The To Kill A Mockingbird Plaid,TOKIZR,dN9p90QNy5y0bWVisroA_Screen%20Shot%202017-09-05%20at%205.04.37%20PM.png (https://dl.airtable.com/aGxOwLxSDq1hmPlnvoU7_dN9p90QNy5y0bWVisroA_Screen%2520Shot%25202017-09-05%2520at%25205.04.37%2520PM.png),"Primary maroon, Secondary grey,  Bright Low,  Contrast Low, Field Medium, Genre Stripe",rec17jxrAafvrworg
35,Poem Black,POMBLA,m5ScmeViThG5iF7wxjLh_Poem%20Black.png (https://dl.airtable.com/lQtsiU0CTXKR8uoWSy14_m5ScmeViThG5iF7wxjLh_Poem%2520Black.png),"Primary darkgray, Secondary black,  Bright Low,  Contrast Low, Field Medium, Genre Dark",rec18Q0NJPogchqrh
36,Chez Rene,NSANTI,9HLe7s3wStaQFF3oUiVO_Screen%20Shot%202017-08-09%20at%205.50.54%20PM.png (https://dl.airtable.com/Vr59VWEWQH6YblA2FEG8_9HLe7s3wStaQFF3oUiVO_Screen%2520Shot%25202017-08-09%2520at%25205.50.54%2520PM.png),"Primary Blue, Secondary White, Field Medium, Contrast Medium, Bright Low, Genre Blocking, Genre Plaid",rec1AUuGWvHJeLb9A
37,The Behavior Plaid,BHAVMY,kMKqAug1Skr8nrS0m8HO_Screen%20Shot%202018-11-26%20at%201.56.07%20PM.png (https://dl.airtable.com/eo2TDPliT0eZx10fbnek_kMKqAug1Skr8nrS0m8HO_Screen%2520Shot%25202018-11-26%2520at%25201.56.07%2520PM.png),"Primary rosybrown, Secondary saddlebrown,  Bright Medium,  Contrast Low, Field Medium, Genre Floral",rec1DcPQbi5pF7Cm9
38,,,,,rec1ECumv1SEUkQUz
39,Peact & Black Florals,PACTBU,DxwEj57nRYCnoxsyga2m_Screen%20Shot%202018-05-25%20at%201.59.54%20PM.png (https://dl.airtable.com/mDU89KJoR2qOdN0Dexs3_DxwEj57nRYCnoxsyga2m_Screen%2520Shot%25202018-05-25%2520at%25201.59.54%2520PM.png),"Primary black, Secondary midnightblue,  Bright Low,  Contrast Low, Field Large, Genre Nature",rec1FB9mMNZjYQz7e
40,periwinkle r187 g175 b180,PRIWRE,a0zX9PatRIygc6e4nhis_periwinkle.jpg (https://dl.airtable.com/PPeDmX90QZqFc87ZRTvK_a0zX9PatRIygc6e4nhis_periwinkle.jpg),"Primary silver,  Bright High,  Contrast Low, Field Large, Genre Floral",rec1FKtEaqwqrpCXv
41,Big Combs,BIGCFN,fom64dI4ToG8lsMn492T_Screen%20Shot%202018-12-03%20at%2012.06.14%20PM.png (https://dl.airtable.com/CBT3WpECSeaTNgkBaHSK_fom64dI4ToG8lsMn492T_Screen%2520Shot%25202018-12-03%2520at%252012.06.14%2520PM.png),"Primary lavender, Secondary sandybrown,  Bright High,  Contrast Low, Field Medium, Genre Whimsy",rec1GgUA2RV9EMr8B
42,Clay Bazaar ,CLAYBW,KvLjO5DmRFeXjdIbGrUV_Screen%20Shot%202018-04-19%20at%2012.31.46%20PM.png (https://dl.airtable.com/o73rgSUQa2i8ovutG3SC_KvLjO5DmRFeXjdIbGrUV_Screen%2520Shot%25202018-04-19%2520at%252012.31.46%2520PM.png),"Primary Brown, Secondary Ivory, Field Small, Contrast Medium, Bright Medium, Genre Floral",rec1HNNoaM6jjU107
43,Rust Floral,RUSTFT,,,rec1HaVCAXeV4rzVP
44,Placement print of THE KIT Logo on Infrared,PLACNK,J94AEqpPTWcn4JMOBfGg_Screen%20Shot%202018-04-02%20at%201.26.55%20PM.png (https://dl.airtable.com/92h3cNFT5uG8BHsicIcu_J94AEqpPTWcn4JMOBfGg_Screen%2520Shot%25202018-04-02%2520at%25201.26.55%2520PM.png),"Primary snow, Secondary crimson,  Bright Medium,  Contrast Low, Field Medium, Genre Nature",rec1HwQXwn1bovDtD
45,Red Buttferfly,RDBUTQ,,,rec1J2zERkSCORwY7
46,suspender red,SUSPIK,1nlpERakQcyVBLIqnKxF_Unknown-3.png (https://dl.airtable.com/R878yBGySnuj8yMtwFQf_1nlpERakQcyVBLIqnKxF_Unknown-3.png),"Primary Red, Field Solid, Bright Medium",rec1Jru8HZn25038b
47,Micro Navy Gingham,MICRZM,fHaONztTrivZPYkGlbmg_Screen%20Shot%202018-06-14%20at%2012.22.18%20PM.png (https://dl.airtable.com/eClpD8sLTCmCufqMg8Fb_fHaONztTrivZPYkGlbmg_Screen%2520Shot%25202018-06-14%2520at%252012.22.18%2520PM.png),"Primary ghostwhite, Secondary darkslategray,  Bright Medium,  Contrast Medium, Field Medium, Genre Nature",rec1LI5L7VLFxPkgf
48,Pink Smoking Jacket,PINKSH,uJ0Sbi1UQ7akpTu0D7ns_Screen%20Shot%202017-06-07%20at%201.31.40%20PM.png (https://dl.airtable.com/dQJo7I0ORLqJ4zvcn6xH_uJ0Sbi1UQ7akpTu0D7ns_Screen%2520Shot%25202017-06-07%2520at%25201.31.40%2520PM.png),"Primary indianred, Secondary maroon,  Bright Low,  Contrast Low, Field Medium, Genre Plaid",rec1LmKBAbHxREoFe
49,The Navy Blues Sky Plaid,INNAVY,TXL62IuRmekOyhwmnXlQ_Screen%20Shot%202017-05-24%20at%205.47.14%20PM.png (https://dl.airtable.com/AHTp3cc5QRC2yvEtf8bg_TXL62IuRmekOyhwmnXlQ_Screen%2520Shot%25202017-05-24%2520at%25205.47.14%2520PM.png),"Genre Plaid, Primary Blue, Secondary Gray, Field Large, Contrast Low, Bright Low",rec1MayE3KXK6wxDR
50,BORA BORA BLUE GREEN FLORAL,BORAPX,RvwLpxySQ6GKvOiLf75S_Screen%20Shot%202018-09-21%20at%202.52.26%20PM.png (https://dl.airtable.com/3WrgUz26RoC7FRoHs0ET_RvwLpxySQ6GKvOiLf75S_Screen%2520Shot%25202018-09-21%2520at%25202.52.26%2520PM.png),"Contrast Medium, Bright Medium, Genre Floral, Field Small, Secondary Pink, Primary Green",rec1P0PMbqPSq6MAP
51,Marble B,MARBAS,mxowDdehQqqIvDQxaEpv_Screen%20Shot%202018-07-24%20at%2012.16.08%20PM.jpg (https://dl.airtable.com/qCRfSCcJRgyXn9s0kgMw_mxowDdehQqqIvDQxaEpv_Screen%2520Shot%25202018-07-24%2520at%252012.16.08%2520PM.jpg),"Primary darkgray, Secondary darkslategray,  Bright Low,  Contrast Low, Field Medium, Genre Plaid",rec1Q5hlhkL1eW1or
52,Dot Lines - Green & Black,DOTLRF,uncEpnPMSsmAOhl1doVp_Screen%20Shot%202018-05-25%20at%202.36.57%20PM.jpeg (https://dl.airtable.com/sfkA1pKDT9a4hzyHaIUh_uncEpnPMSsmAOhl1doVp_Screen%2520Shot%25202018-05-25%2520at%25202.36.57%2520PM.jpeg),"Primary cadetblue, Secondary darkslategray,  Bright Medium,  Contrast Low, Field Large, Genre Nature",rec1QWzKw2Zge8IFh
53,dark grey r90 g90 b91,DARKYZ,mVSTVU2QRaq8QiX6P83H_dark-grey.jpg (https://dl.airtable.com/2wXfivvdS2qxPPWY5T31_mVSTVU2QRaq8QiX6P83H_dark-grey.jpg),"Primary dimgrey,  Bright Medium,  Contrast Low, Field Large, Genre Nature",rec1R5FbiNTpUQ86U
54,Olive Denim ,OLIVPQ,yRjioQ8cRS6SvWykChgD_Screen%20Shot%202018-07-10%20at%203.54.44%20PM.png (https://dl.airtable.com/lYInOHrQIPsr63ig8tiw_yRjioQ8cRS6SvWykChgD_Screen%2520Shot%25202018-07-10%2520at%25203.54.44%2520PM.png),"Primary darkslategray,  Bright Low,  Contrast Low, Field Large, Genre Plaid",rec1UmKIfPCw79DvI
55,The Earth AD Plaid,ARTHZI,gVrSIW6JSCPuG54YFFPh_Screen%20Shot%202018-11-26%20at%201.43.51%20PM.png (https://dl.airtable.com/aeM5lerTWt64urL6R2rw_gVrSIW6JSCPuG54YFFPh_Screen%2520Shot%25202018-11-26%2520at%25201.43.51%2520PM.png),"Primary indianred, Secondary maroon,  Bright Low,  Contrast Low, Field Medium, Genre Nature",rec1WlSNfk7mJvdiW
56,Pocket Bags - Sticks - Double Weave Gray,POCKYE,XZPS56VcQn78F0uGTmXc_Screen%20Shot%202018-06-12%20at%2011.51.22%20AM.jpg (https://dl.airtable.com/2364piqfSiCEaPsxr4tm_XZPS56VcQn78F0uGTmXc_Screen%2520Shot%25202018-06-12%2520at%252011.51.22%2520AM.jpg),"Primary silver, Secondary snow,  Bright High,  Contrast Low, Field Large, Genre Nature",rec1crrhZ1H0CmBIC
